Size,Threads,Schedule,Time,Iterations
500x500,1,static,34.805119,16955
500x500,1,dynamic,35.473117,16955
500x500,2,static,20.084848,16955
500x500,2,dynamic,21.403071,16955
500x500,3,static,15.583514,16955
500x500,3,dynamic,14.690251,16955
500x500,4,static,13.703913,16955
500x500,4,dynamic,11.571929,16955
500x500,5,static,11.876350,16955
500x500,5,dynamic,9.774501,16955
500x500,6,static,10.702786,16955
500x500,6,dynamic,8.536346,16955
500x500,7,static,9.630858,16955
500x500,7,dynamic,7.678940,16955
500x500,8,static,8.662632,16955
500x500,8,dynamic,6.766587,16955
500x500,9,static,7.927282,16955
500x500,9,dynamic,6.380422,16955
500x500,10,static,7.333994,16955
500x500,10,dynamic,6.418984,16955
500x500,11,static,6.932070,16955
500x500,11,dynamic,6.179634,16955
500x500,12,static,6.542237,16955
500x500,12,dynamic,6.218839,16955
500x500,13,static,6.489831,16955
500x500,13,dynamic,6.311231,16955
500x500,14,static,6.563357,16955
500x500,14,dynamic,6.159590,16955
500x500,15,static,6.322115,16955
500x500,15,dynamic,6.377239,16955
500x500,16,static,7.873198,16955
500x500,16,dynamic,7.409155,16955