N,Threads,Schedule,Time(s)
2,1,0,0.417755279
2,1,1,0.372027661
2,2,0,0.368239491
2,2,1,0.376402271
2,4,0,0.387028905
2,4,1,0.391220943
2,8,0,0.386133257
2,8,1,0.410062396
2,16,0,0.410051980
2,16,1,0.389512949
4,1,0,0.389872066
4,1,1,0.385443872
4,2,0,0.379572588
4,2,1,0.384665581
4,4,0,0.375594438
4,4,1,0.419069753
4,8,0,0.426939078
4,8,1,0.457356866
4,16,0,0.443431366
4,16,1,0.435724652
6,1,0,0.407121129
6,1,1,0.404842028
6,2,0,0.397579609
6,2,1,0.400012087
6,4,0,0.421903881
6,4,1,0.448748113
6,8,0,0.494294877
6,8,1,0.478968909
6,16,0,0.561376235
6,16,1,0.567822037
8,1,0,0.406527325
8,1,1,0.398863223
8,2,0,0.421157520
8,2,1,0.433829199
8,4,0,0.485308946
8,4,1,0.444862253
8,8,0,0.559132785
8,8,1,0.752154828
8,16,0,1.191876086
8,16,1,0.807115485
16,1,0,0.508451193
16,1,1,0.483886206
16,2,0,0.533302295
16,2,1,0.619981102
16,4,0,0.736938521
16,4,1,0.668102427
16,8,0,1.107251064
16,8,1,1.101928349
16,16,0,1.938712754
16,16,1,1.802847270
32,1,0,0.896492638
32,1,1,0.838100484
32,2,0,1.224199942
32,2,1,1.020163655
32,4,0,1.414978506
32,4,1,1.456390077
32,8,0,2.711551901
32,8,1,3.011534140
32,16,0,5.291044089
32,16,1,5.255490704
64,1,0,1.800385242
64,1,1,1.896174702
64,2,0,2.556922767
64,2,1,2.657530587
64,4,0,4.004163976
64,4,1,4.140029202
64,8,0,8.109325979
64,8,1,8.625750115
64,16,0,15.639271190
64,16,1,15.795003555
128,1,0,10.211686761
128,1,1,10.764238113
128,2,0,11.729083612
128,2,1,12.537603728
128,4,0,15.693741019
128,4,1,16.487076922
128,8,0,26.567985272
128,8,1,27.022077096
128,16,0,47.020791278
128,16,1,50.576073092
256,1,0,55.689666169
256,1,1,57.905228360
256,2,0,59.353912373
256,2,1,61.113214561
256,4,0,68.694610440
256,4,1,67.955759942
256,8,0,86.221767704
256,8,1,87.299340089
256,16,0,119.806994970
256,16,1,122.715671023
512,1,0,242.824915809
512,1,1,244.955964992
512,2,0,247.233522887
512,2,1,250.056169728
512,4,0,260.705868291
512,4,1,269.017400193
512,8,0,291.148594197
512,8,1,310.658499685
512,16,0,332.168760756
512,16,1,342.920556900